service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
T0,1,1,1,1,1,0,0,20211212,20221210
T0+00000,1,1,1,1,1,0,0,20211212,20221210
T0+01000,1,1,1,1,1,0,0,20211212,20221210
T0+05000,1,1,1,1,1,0,0,20211212,20221210
T0+06000,1,1,1,1,1,0,0,20211212,20221210
T0+07000,1,1,1,1,1,0,0,20211212,20221210
T0+0b000,0,0,1,0,0,0,0,20211212,20221210
T0+0c000,1,1,1,1,1,0,0,20211212,20221210
T0+0d000,1,1,1,1,1,0,0,20211212,20221210
T0+0f000,1,1,1,1,1,0,0,20211212,20221210
T0+0i000,0,0,0,1,1,0,0,20211212,20221210
T0+0S,1,1,1,1,0,0,0,20211212,20221210
T0+10000,0,0,0,0,1,0,0,20211212,20221210
T0+1a000,1,1,1,1,1,0,0,20211212,20221210
T0+1B,1,1,1,1,1,0,0,20211212,20221210
T0+1D,1,1,1,1,1,0,0,20211212,20221210
T0+1e000,1,1,1,1,1,0,0,20211212,20221210
T0+1I,1,1,1,1,1,0,0,20211212,20221210
T0+20000,1,1,1,1,1,0,0,20211212,20221210
T0+26000,1,1,1,1,1,0,0,20211212,20221210
T0+28000,1,1,1,1,1,0,0,20211212,20221210
T0+2c000,1,1,1,1,1,0,0,20211212,20221210
T0+2e000,1,0,0,0,1,0,0,20211212,20221210
T0+2H,0,1,1,1,0,0,0,20211212,20221210
T0+2I,0,0,0,0,1,0,0,20211212,20221210
T0+36000,1,1,1,1,1,0,0,20211212,20221210
T0+38000,1,1,1,1,1,0,0,20211212,20221210
T0+39000,1,1,1,1,1,0,0,20211212,20221210
T0+3A,1,1,1,1,1,0,0,20211212,20221210
T0+3C,1,1,1,1,1,0,0,20211212,20221210
T0+3c000,1,1,1,1,1,0,0,20211212,20221210
T0+3D,1,1,1,1,1,0,0,20211212,20221210
T0+3g,0,0,0,0,1,0,0,20211212,20221210
T0+3s,0,0,0,0,1,0,0,20211212,20221210
T0+3T,0,0,0,0,1,0,0,20211212,20221210
T0+3u,1,1,1,1,1,0,0,20211212,20221210
T0+3v,0,0,0,0,1,0,0,20211212,20221210
T0+3w,1,1,1,1,1,0,0,20211212,20221210
T0+3x,1,1,1,1,1,0,0,20211212,20221210
T0+3y,1,1,1,1,1,0,0,20211212,20221210
T0+48000,1,1,1,1,1,0,0,20211212,20221210
T0+4a000,1,1,1,1,1,0,0,20211212,20221210
T0+4f000,1,1,1,1,1,0,0,20211212,20221210
T0+4g000,1,1,1,1,1,0,0,20211212,20221210
T0+4J,1,1,1,1,1,0,0,20211212,20221210
T0+4u,1,1,1,1,1,0,0,20211212,20221210
T0+52000,1,1,1,1,1,0,0,20211212,20221210
T0+53000,1,1,1,1,1,0,0,20211212,20221210
T0+56000,1,1,1,1,1,0,0,20211212,20221210
T0+60000,1,1,1,1,1,0,0,20211212,20221210
T0+64000,0,0,0,0,1,0,0,20211212,20221210
T0+67000,1,1,1,1,1,0,0,20211212,20221210
T0+68000,1,1,1,1,1,0,0,20211212,20221210
T0+6a000,1,1,1,1,1,0,0,20211212,20221210
T0+6c000,1,1,1,1,1,0,0,20211212,20221210
T0+6e000,1,1,1,1,1,0,0,20211212,20221210
T0+6g,1,1,1,1,1,0,0,20211212,20221210
T0+6O,1,1,1,1,0,0,0,20211212,20221210
T0+70000,1,1,1,1,1,0,0,20211212,20221210
T0+79000,1,1,1,1,1,0,0,20211212,20221210
T0+7a,1,1,1,1,1,0,0,20211212,20221210
T0+7b,1,1,1,1,1,0,0,20211212,20221210
T0+7c,1,1,1,1,1,0,0,20211212,20221210
T0+7c000,1,1,1,1,1,0,0,20211212,20221210
T0+80000,1,1,1,1,1,0,0,20211212,20221210
T0+81000,1,1,1,1,1,0,0,20211212,20221210
T0+89000,1,1,1,1,1,0,0,20211212,20221210
T0+8a000,1,1,1,1,1,0,0,20211212,20221210
T0+8N,1,1,1,1,1,0,0,20211212,20221210
T0+8Q,1,1,1,1,1,0,0,20211212,20221210
T0+90000,1,1,1,1,1,0,0,20211212,20221210
T0+94000,1,1,1,1,1,0,0,20211212,20221210
T0+95000,1,1,1,1,1,0,0,20211212,20221210
T0+97000,1,1,1,1,1,0,0,20211212,20221210
T0+9a000,1,1,1,1,0,0,0,20211212,20221210
T0+9c000,1,1,1,1,1,0,0,20211212,20221210
T0+9D,0,0,0,0,1,0,0,20211212,20221210
T0+9d000,1,1,1,1,1,0,0,20211212,20221210
T0+9e000,1,1,1,1,1,0,0,20211212,20221210
T0+9F,1,1,1,1,1,0,0,20211212,20221210
T0+9G,1,1,1,1,1,0,0,20211212,20221210
T0+9M,1,1,1,1,1,0,0,20211212,20221210
T0+9o,0,1,1,1,1,0,0,20211212,20221210
T0+9R,1,1,1,1,1,0,0,20211212,20221210
T0+9T,1,1,1,1,1,0,0,20211212,20221210
T0+9v,0,0,0,0,1,0,0,20211212,20221210
T0+a0000,1,1,1,1,1,0,0,20211212,20221210
T0+a4000,1,1,1,1,1,0,0,20211212,20221210
T0+a8000,1,1,1,1,1,0,0,20211212,20221210
T0+a9000,1,1,1,1,1,0,0,20211212,20221210
T0+ba000,1,1,1,1,1,0,0,20211212,20221210
T0+bb000,1,1,1,1,1,0,0,20211212,20221210
T0+c0000,1,1,1,1,1,0,0,20211212,20221210
T0+c1000,1,1,1,1,1,0,0,20211212,20221210
T0+c6000,1,1,1,1,0,0,0,20211212,20221210
T0+c9000,1,1,1,1,1,0,0,20211212,20221210
T0+ca000,1,1,1,1,1,0,0,20211212,20221210
T0+cf000,1,1,1,1,1,0,0,20211212,20221210
T0+d6000,1,1,1,1,1,0,0,20211212,20221210
T0+d8000,1,1,1,1,1,0,0,20211212,20221210
T0+d9000,1,1,1,1,1,0,0,20211212,20221210
T0+da000,1,1,1,1,1,0,0,20211212,20221210
T0+dc000,1,1,1,1,1,0,0,20211212,20221210
T0+df000,0,0,0,1,1,0,0,20211212,20221210
T0+dg000,1,1,1,1,0,0,0,20211212,20221210
T0+ee000,1,1,1,1,1,0,0,20211212,20221210
T0+f1000,0,0,1,0,1,0,0,20211212,20221210
T0+f9000,1,1,1,1,1,0,0,20211212,20221210
T0+fb000,1,1,1,1,1,0,0,20211212,20221210
T0+fc000,1,1,1,1,1,0,0,20211212,20221210
T0+g6000,1,1,1,1,1,0,0,20211212,20221210
T0+g8000,1,1,1,1,1,0,0,20211212,20221210
T0+g9000,1,1,1,1,1,0,0,20211212,20221210
T0+ga000,1,1,1,1,1,0,0,20211212,20221210
T0+gb000,1,1,1,1,1,0,0,20211212,20221210
T0+gd000,1,1,1,1,1,0,0,20211212,20221210
T0+gf000,1,1,1,1,0,0,0,20211212,20221210
T0+h5000,1,1,1,1,1,0,0,20211212,20221210
T0+h7000,1,1,1,1,1,0,0,20211212,20221210
T0+hc000,1,1,1,1,1,0,0,20211212,20221210
