route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
10-18-I-j22-1,T0+j5000,1.T0.10-18-I-j22-1.1.R,Littenweiler,,1,,shp_3_157,0,0
10-46-I-j22-1,T0+3g,1.T0.10-46-I-j22-1.2.H,Munzingen ü. Umkirch,,0,,shp_3_124,0,0
11-97-I-j22-1,T0+0b000,1.T0.11-97-I-j22-1.1.R,Europa-Park Stadion,,1,,shp_0_32,0,0
13-72-I-j22-1,T2+9H,1.T2.13-72-I-j22-1.2.R,Hornusstr.,,1,,shp_3_319,0,0
10-18-I-j22-1,T3+u5000,1.T3.10-18-I-j22-1.1.R,Littenweiler,,1,,shp_3_157,0,0
10-21-I-j22-1,T3+u5000,1.T3.10-21-I-j22-1.6.R,Günterstal,,1,,shp_3_165,0,0
11-97-I-j22-1,T3+87000,1.T3.11-97-I-j22-1.1.R,Europa-Park Stadion,,1,,shp_0_32,0,0
13-15-I-j22-1,T3+0V,1.T3.13-15-I-j22-1.6.R,Zähringen ü. Gewerbegebiet,,1,,shp_3_307,0,0
13-46-I-j22-1,T3+eb000,1.T3.13-46-I-j22-1.3.R,Merdingen,,1,,shp_3_2,0,0
13-47-I-j22-1,T3+eb000,1.T3.13-47-I-j22-1.1.R,Wasenweiler,,1,,shp_3_318,0,0
10-17-I-j22-1,T0+38000,10.T0.10-17-I-j22-1.2.R,Littenweiler,,1,,shp_3_156,0,0
10-22-I-j22-1,T0+38000,10.T0.10-22-I-j22-1.1.R,Bissierstr. ü. Hans-Bunte-Str.,,1,,shp_3_74,0,0
10-24-I-j22-1,T0+38000,10.T0.10-24-I-j22-1.2.R,Haid ü. VAG-Zentrum,,1,,shp_3_380,0,0
10-74-I-j22-1,T0+a0000,10.T0.10-74-I-j22-1.1.R,Zähringen,,1,,shp_3_72,0,0
11-4-I-j22-1,T0+01000,10.T0.11-4-I-j22-1.7.R,Zähringen ü. Hauptbahnhof - Europaplatz,,1,,shp_0_138,0,0
13-15-I-j22-1,T2+51000,10.T2.13-15-I-j22-1.20.R,Zähringen ü. Wildtal - Gundelfingen Bf - Gewerbegebiet,,1,,shp_3_12,0,0
13-72-I-j22-1,T2+9H,10.T2.13-72-I-j22-1.2.R,Hornusstr.,,1,,shp_3_319,0,0
14-21-I-j22-1,T2+2E,10.T2.14-21-I-j22-1.4.R,,,1,,shp_3_4,0,0
10-15-I-j22-1,T3+50000,10.T3.10-15-I-j22-1.13.R,Zähringen ü. Gewerbegebiet,,1,,shp_3_307,0,0
10-17-I-j22-1,T3+5d000,10.T3.10-17-I-j22-1.2.R,Littenweiler,,1,,shp_3_156,0,0
10-72-I-j22-1,T3+8U,10.T3.10-72-I-j22-1.6.R,Fr.-Ebert-Platz,,1,,shp_3_266,0,0
10-74-I-j22-1,T3+50000,10.T3.10-74-I-j22-1.1.R,Zähringen,,1,,shp_3_72,0,0
11-1-I-j22-1,T3,10.T3.11-1-I-j22-1.1.R,Littenweiler,,1,,shp_0_146,0,0
11-2-I-j22-1,T3,10.T3.11-2-I-j22-1.7.R,Günterstal,,1,,shp_0_127,0,0
11-5-I-j22-1,T3+b7000,10.T3.11-5-I-j22-1.2.R,Rieselfeld,,1,,shp_0_22,0,0
11-97-I-j22-1,T3+87000,10.T3.11-97-I-j22-1.2.R,Bertoldsbrunnen,,1,,shp_0_90,0,0
13-15-I-j22-1,T3+p0000,10.T3.13-15-I-j22-1.7.R,Zähringen ü. Wildtal - Gundelfingen - Gewerbegebiet,,1,,shp_3_13,0,0
13-72-I-j22-1,T3+9K,10.T3.13-72-I-j22-1.2.R,Hornusstr.,,1,,shp_3_319,0,0
14-21-I-j22-1,T3+g1000,10.T3.14-21-I-j22-1.4.R,,,1,,shp_3_4,0,0
10-14-I-j22-1,T0+a9000,100.T0.10-14-I-j22-1.11.R,Hauptbahnhof ü. Struveweg - Laufener Str.,,1,,shp_3_324,0,0
10-18-I-j22-1,T0+3w,100.T0.10-18-I-j22-1.3.R,Ebnet,,1,,shp_3_142,0,0
10-19-I-j22-1,T0+ja000,100.T0.10-19-I-j22-1.8.R,Paduaallee,,1,,shp_3_134,0,0
10-21-I-j22-1,T0+3v,100.T0.10-21-I-j22-1.5.R,Günterstal,,1,,shp_3_177,0,0
10-22-I-j22-1,T0+tc000,100.T0.10-22-I-j22-1.2.R,Bissierstr. ü. Hans-Bunte-Str. - Wöhlerstr.,,1,,shp_3_76,0,0
10-23-I-j22-1,T0+01000,100.T0.10-23-I-j22-1.3.R,Hauptbahnhof,,1,,shp_3_96,0,0
10-24-I-j22-1,T0+tc000,100.T0.10-24-I-j22-1.3.R,Haid ü. Hans-Bunte-Str. - Wöhlerstr. - VAG-Zentrum,,1,,shp_3_382,0,0
10-25-I-j22-1,T0+tc000,100.T0.10-25-I-j22-1.7.R,Hugstetten Bf ü. Hans-Bunte-Str. - Wöhlerstr.,,1,,shp_3_58,0,0
10-33-I-j22-1,T0+3v,100.T0.10-33-I-j22-1.1.R,Haid ü. Im Maierbrühl - Rieselfeld,,1,,shp_3_363,0,0
10-35-I-j22-1,T0+ja000,100.T0.10-35-I-j22-1.3.R,Haid,,1,,shp_3_359,0,0
10-74-I-j22-1,T0+9v,100.T0.10-74-I-j22-1.8.R,Zähringen,,1,,shp_3_50,0,0
11-4-I-j22-1,T0+52000,100.T0.11-4-I-j22-1.10.R,Okenstr.,,1,,shp_0_113,0,0
11-5-I-j22-1,T2+y9000,100.T2.11-5-I-j22-1.3.R,Rieselfeld,,1,,shp_0_39,0,0
13-15-I-j22-1,T2+i0000,100.T2.13-15-I-j22-1.7.R,Zähringen ü. Wildtal - Gundelfingen - Gewerbegebiet,,1,,shp_3_13,0,0
14-18-I-j22-1,T2,100.T2.14-18-I-j22-1.4.H,Littenweiler,,0,,shp_3_119,0,0
10-33-I-j22-1,T3,100.T3.10-33-I-j22-1.1.R,Haid ü. Im Maierbrühl - Rieselfeld,,1,,shp_3_363,0,0
10-74-I-j22-1,T3+50000,100.T3.10-74-I-j22-1.1.R,Zähringen,,1,,shp_3_72,0,0
11-1-I-j22-1,T3,100.T3.11-1-I-j22-1.2.R,Littenweiler,,1,,shp_0_107,0,0
11-2-I-j22-1,T3+0V,100.T3.11-2-I-j22-1.9.R,Günterstal,,1,,shp_0_61,0,0
11-5-I-j22-1,T3+b7000,100.T3.11-5-I-j22-1.5.R,Rieselfeld,,1,,shp_0_43,0,0
13-72-I-j22-1,T3+9K,100.T3.13-72-I-j22-1.3.H,Technische Fakultät,,0,,shp_3_105,0,0
13-74-I-j22-1,T3+50000,100.T3.13-74-I-j22-1.1.R,Zähringen,,1,,shp_3_72,0,0
14-18-I-j22-1,T3,100.T3.14-18-I-j22-1.3.R,Ebnet,,1,,shp_3_143,0,0
10-18-I-j22-1,T0+3v,1000.T0.10-18-I-j22-1.15.H,Littenweiler ü. Unteres Grün,,0,,shp_3_120,0,0
10-14-I-j22-1,T2+19000,1000.T2.10-14-I-j22-1.21.R,Hauptbahnhof ü. Struveweg,,1,,shp_3_326,0,0
11-5-I-j22-1,T2+v6000,1000.T2.11-5-I-j22-1.5.R,Rieselfeld,,1,,shp_0_43,0,0
10-24-I-j22-1,T0+t5000,1001.T0.10-24-I-j22-1.50.H,Gundelfingen Bf ü. Wöhlerstr. - Hans-Bunte-Str.,,0,,shp_3_206,0,0
13-15-I-j22-1,T0+1I,1001.T0.13-15-I-j22-1.10.R,Obermattenbad,,1,,shp_3_11,0,0
13-21-I-j22-1,T0+z7000,1001.T0.13-21-I-j22-1.11.H,Günterstal,,0,,shp_3_314,0,0
10-22-I-j22-1,T2+q4000,1001.T2.10-22-I-j22-1.9.R,Bissierstr.,,1,,shp_3_106,0,0
11-2-I-j22-1,T2+9J,1001.T2.11-2-I-j22-1.49.R,Stadttheater,,1,,shp_0_48,0,0
11-5-I-j22-1,T2+ic000,1001.T2.11-5-I-j22-1.8.R,Rieselfeld,,1,,shp_0_44,0,0
10-72-I-j22-1,T3+9K,1001.T3.10-72-I-j22-1.26.H,Technische Fakultät,,0,,shp_3_105,0,0
11-5-I-j22-1,T3+ni000,1001.T3.11-5-I-j22-1.12.R,Am Lindenwäldle,,1,,shp_0_63,0,0
10-72-I-j22-1,T0+8Q,1002.T0.10-72-I-j22-1.16.H,Rennweg - Albertstr. - Fr.-Ebert-Platz,,0,,shp_3_47,0,0
13-15-I-j22-1,T0+3g,1002.T0.13-15-I-j22-1.7.R,Zähringen ü. Wildtal - Gundelfingen - Gewerbegebiet,,1,,shp_3_13,0,0
10-11-I-j22-1,T2+ec000,1002.T2.10-11-I-j22-1.1.R,Haid ü. St. Georgen,,1,,shp_3_69,0,0
10-72-I-j22-1,T2+8S,1002.T2.10-72-I-j22-1.2.R,Fr.-Ebert-Platz,,1,,shp_3_127,0,0
11-5-I-j22-1,T2+9J,1002.T2.11-5-I-j22-1.23.R,Rieselfeld,,1,,shp_0_19,0,0
10-21-I-j22-1,T3+g1000,1002.T3.10-21-I-j22-1.12.H,Günterstal,,0,,shp_3_314,0,0
11-2-I-j22-1,T3+g1000,1002.T3.11-2-I-j22-1.24.H,Fr.-Ebert-Platz,,0,,shp_0_152,0,0
11-4-I-j22-1,T3+p0000,1002.T3.11-4-I-j22-1.39.H,Messe,,0,,shp_0_64,0,0
11-5-I-j22-1,T3+eb000,1002.T3.11-5-I-j22-1.9.R,Am Lindenwäldle ü. Fahnenbergplatz - Haslach,,1,,shp_0_56,0,0
10-14-I-j22-1,T0+3x,1003.T0.10-14-I-j22-1.10.R,Hauptbahnhof ü. Moosackerweg - Laufener Str.,,1,,shp_3_327,0,0
10-22-I-j22-1,T0+38000,1003.T0.10-22-I-j22-1.1.R,Bissierstr. ü. Hans-Bunte-Str.,,1,,shp_3_74,0,0
13-21-I-j22-1,T0+1I,1003.T0.13-21-I-j22-1.11.H,Günterstal,,0,,shp_3_314,0,0
10-14-I-j22-1,T2+cb000,1003.T2.10-14-I-j22-1.22.R,Hauptbahnhof ü. Struveweg - Vogesenstr.,,1,,shp_3_329,0,0
10-34-I-j22-1,T2+s5000,1003.T2.10-34-I-j22-1.10.H,KEIDEL Mineral-Thermalbad,,0,,shp_3_194,0,0
11-2-I-j22-1,T3+sa000,1003.T3.11-2-I-j22-1.33.H,Hornusstr.,,0,,shp_0_155,0,0
10-11-I-j22-1,T0+ub000,1004.T0.10-11-I-j22-1.11.R,Haid ü. St. Georgen,,1,,shp_3_70,0,0
11-2-I-j22-1,T0+j9000,1004.T0.11-2-I-j22-1.11.R,Günterstal,,1,,shp_0_80,0,0
13-15-I-j22-1,T0+1I,1004.T0.13-15-I-j22-1.6.R,Zähringen ü. Gewerbegebiet,,1,,shp_3_307,0,0
10-19-I-j22-1,T2+1f000,1004.T2.10-19-I-j22-1.43.H,Mundenhof Wirtschaftsgeb. ü. Lehen Zieg.,,0,,shp_3_246,0,0
10-72-I-j22-1,T2+8R,1004.T2.10-72-I-j22-1.6.R,Fr.-Ebert-Platz,,1,,shp_3_266,0,0
10-21-I-j22-1,T3+sa000,1004.T3.10-21-I-j22-1.11.H,Günterstal,,0,,shp_3_339,0,0
11-1-I-j22-1,T3,1004.T3.11-1-I-j22-1.19.H,Landwasser,,0,,shp_0_82,0,0
11-5-I-j22-1,T3+9K,1004.T3.11-5-I-j22-1.6.H,Zähringen ü. Johanneskirche,,0,,shp_0_23,0,0
13-32-I-j22-1,T0+3w,1005.T0.13-32-I-j22-1.19.R,Paduaallee ü. Opfingen Unterdorf - Umkirch - Lehen,,1,,shp_3_204,0,0
10-27-I-j22-1,T2+2E,1005.T2.10-27-I-j22-1.7.R,Europaplatz,,1,,shp_3_298,0,0
11-2-I-j22-1,T3+0V,1005.T3.11-2-I-j22-1.23.H,Zähringen,,0,,shp_0_158,0,0
11-3-I-j22-1,T3,1005.T3.11-3-I-j22-1.18.R,Vauban,,1,,shp_0_124,0,0
11-2-I-j22-1,T0+1I,1006.T0.11-2-I-j22-1.9.R,Günterstal,,1,,shp_0_61,0,0
13-21-I-j22-1,T0+i8000,1006.T0.13-21-I-j22-1.11.H,Günterstal,,0,,shp_3_314,0,0
13-32-I-j22-1,T0+3s,1006.T0.13-32-I-j22-1.10.R,Paduaallee ü. Opfingen Unterdorf - Lehen,,1,,shp_3_38,0,0
11-1-I-j22-1,T2+23000,1006.T2.11-1-I-j22-1.2.R,Littenweiler,,1,,shp_0_107,0,0
