shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shp_0_573,47.483688354,7.5462784767,1,0
shp_0_573,47.48368454,7.5464272499,2,11.172531128
shp_0_573,47.483692169,7.5466852188,3,30.60726738
shp_0_573,47.483715057,7.5468816757,4,45.656208038
shp_0_573,47.483760834,7.5470590591,5,59.846782684
shp_0_573,47.483829498,7.5472536087,6,76.393218994
shp_0_573,47.483882904,7.5473690033,7,86.871032715
shp_0_573,47.48400116,7.5475687981,8,106.93397522
shp_0_573,47.484149933,7.5477590561,9,129.03398132
shp_0_573,47.484313965,7.5479159355,10,150.49508667
shp_0_573,47.484695435,7.548224926,11,199.06907654
shp_0_573,47.48758316,7.5504612923,12,561.67474365
shp_0_573,47.487873077,7.5506505966,13,597.22650146
shp_0_573,47.488166809,7.5507864952,14,631.22485352
shp_0_573,47.488594055,7.5509586334,15,680.64007568
shp_0_573,47.488918304,7.5511059761,16,718.40979004
shp_0_573,47.489227295,7.5512914658,17,755.75421143
shp_0_573,47.491275787,7.5526132584,18,1004.4710083
shp_0_573,47.491703033,7.5528650284,19,1055.3391113
shp_0_573,47.49213028,7.5530743599,20,1105.5644531
shp_0_573,47.492984772,7.5534076691,21,1204.1308594
shp_0_573,47.493392944,7.5536031723,22,1251.7961426
shp_0_573,47.493618011,7.553730011,23,1278.5894775
shp_0_573,47.49508667,7.554643631,24,1455.9510498
shp_0_573,47.497966766,7.5564360619,25,1803.7645264
shp_0_573,47.498378754,7.556702137,26,1853.6994629
shp_0_573,47.498760223,7.5569338799,27,1899.7304688
shp_0_573,47.498989105,7.5570402145,28,1926.4423828
shp_0_573,47.49943924,7.5572257042,29,1978.2147217
shp_0_573,47.499652863,7.5573019981,30,2002.769043
shp_0_573,47.499866486,7.5573401451,31,2026.8414307
shp_0_573,47.500076294,7.557331562,32,2049.9824219
shp_0_573,47.500282288,7.5572729111,33,2073.6552734
shp_0_573,47.500461578,7.5571899414,34,2094.3215332
shp_0_573,47.500904083,7.5569424629,35,2146.951416
shp_0_573,47.5013237,7.55671978,36,2196.6435547
shp_0_573,47.501781464,7.5564575195,37,2251.1367188
shp_0_573,47.502212524,7.5562238693,38,2302.2695312
shp_0_573,47.502635956,7.5559797287,39,2353.0944824
