trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
1.TA.91-10-A-j22-1.1.H,19:42:00,19:42:00,8500065,1,,0,0,0,1
1.TA.91-10-A-j22-1.1.H,19:44:00,19:44:00,8588795,2,,0,0,1455.9510498,1
1.TA.91-10-A-j22-1.1.H,19:45:00,19:45:00,8500064,3,,0,0,1978.2147217,1
1.TA.91-10-A-j22-1.1.H,19:47:00,19:47:00,8500072,4,,0,0,2818.9943848,1
1.TA.91-10-A-j22-1.3.H,19:43:00,19:43:00,8500065,1,,0,0,0,1
1.TA.91-10-A-j22-1.3.H,19:46:00,19:46:00,8588795,2,,0,0,1455.9510498,1
1.TA.91-10-A-j22-1.3.H,19:47:00,19:47:00,8500064,3,,0,0,1978.2147217,1
1.TA.91-10-A-j22-1.3.H,19:49:00,19:49:00,8500072,4,,0,0,2818.9943848,1
117.TA.91-20-Y-j22-1.13.R,23:37:00,23:37:00,8504314:0:5,1,,0,0,0,1
117.TA.91-20-Y-j22-1.13.R,23:39:00,23:39:00,8504321,2,,0,0,1235.4447021,1
117.TA.91-20-Y-j22-1.13.R,23:41:00,23:41:00,8504315:0:1,3,,0,0,3903.3566895,1
117.TA.91-20-Y-j22-1.13.R,23:46:00,23:46:00,8504316:0:1,4,,0,0,7567.2915039,1
1.TA.92-8-L-j22-1.1.H,13:22:00,13:22:00,8500231,1,,0,0,0,1
1.TA.92-8-L-j22-1.1.H,13:23:00,13:23:00,8500230,2,,0,0,613.79376221,1
1.TA.92-8-L-j22-1.1.H,13:26:00,13:26:00,8588455,3,,0,0,1619.8326416,1
1.TA.92-8-L-j22-1.1.H,13:27:00,13:27:00,8502472,4,,0,0,3305.9165039,1
1.TA.92-8-L-j22-1.1.H,13:28:00,13:28:00,8589955,5,,0,0,3678.7458496,1
1.TA.92-8-L-j22-1.1.H,13:31:00,13:31:00,8572373:0:B,6,,0,0,4335.4868164,1
1.TA.91-10-A-j22-1.2.H,19:42:00,19:42:00,8500065,1,,0,0,0,1
1.TA.91-10-A-j22-1.2.H,19:44:00,19:44:00,1,2,,0,0,1455.9510498,1
